part_index,episode_index,episode_id,episode_label,word_count,paragraph_count,slothrop_mentions_total,slothrop_mentions_per_1k_words,slothrop_paragraph_count,slothrop_paragraph_coverage,slothrop_present,slothrop_canonical_mentions,slothrop_alias_mentions,slothrop_canonical_share,slothrop_alias_share,slothrop_alias_diversity,slothrop_alias_effective_n,slothrop_surface_group_count,slothrop_human_mention_share,slothrop_human_rank_within_episode,slothrop_is_top_character,slothrop_orbit_character_count,slothrop_orbit_total_mentions,slothrop_orbit_effective_n,slothrop_top_cocharacter,slothrop_top_cocharacter_count,slothrop_absence_run_index,slothrop_absence_run_length_total
1,1,1.01,Part 1 Episode 1 (1.01),2078,30,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,1,2
1,2,1.02,Part 1 Episode 2 (1.02),4004,54,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,2,2
1,3,1.03,Part 1 Episode 3 (1.03),1322,10,8,6.0514,8,0.8000,yes,8,0,1.0000,0.0000,0,1.2800,2,0.2857,2,no,4,20,2.4096,Teddy Bloat,10,0,0
1,4,1.04,Part 1 Episode 4 (1.04),4164,61,42,10.0865,42,0.6885,yes,42,0,1.0000,0.0000,0,1.0488,2,0.6176,1,yes,6,26,2.0000,Tantivy Mucker-Maffick,18,0,0
1,5,1.05,Part 1 Episode 5 (1.05),3365,54,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,1,3
1,6,1.06,Part 1 Episode 6 (1.06),2095,40,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,2,3
1,7,1.07,Part 1 Episode 7 (1.07),2401,45,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,3,3
1,8,1.08,Part 1 Episode 8 (1.08),2508,49,6,2.3923,6,0.1224,yes,6,0,1.0000,0.0000,0,1.0000,1,0.1875,3,no,7,26,3.1296,Ned Pointsman,12,0,0
1,9,1.09,Part 1 Episode 9 (1.09),3178,55,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,1,1
1,10,1.10,Part 1 Episode 10 (1.10),4564,94,34,7.4496,34,0.3617,yes,34,0,1.0000,0.0000,0,1.1267,3,0.5667,1,yes,4,26,3.4490,Crutchfield,9,0,0
1,11,1.11,Part 1 Episode 11 (1.11),624,8,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,1,1
1,12,1.12,Part 1 Episode 12 (1.12),4828,42,4,0.8285,4,0.0952,yes,4,0,1.0000,0.0000,0,1.0000,1,0.0851,4,no,12,43,4.9838,Ernest Pudding,16,0,0
1,13,1.13,Part 1 Episode 13 (1.13),4054,70,14,3.4534,14,0.2000,yes,14,0,1.0000,0.0000,0,1.0000,1,0.1647,3,no,10,71,4.6461,Ned Pointsman,22,0,0
1,14,1.14,Part 1 Episode 14 (1.14),10113,64,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,1,1
1,15,1.15,Part 1 Episode 15 (1.15),2836,44,16,5.6417,16,0.3636,yes,16,0,1.0000,0.0000,0,1.0000,1,0.3019,2,no,4,37,2.4667,Darlene,17,0,0
1,16,1.16,Part 1 Episode 16 (1.16),7530,57,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,1,1
1,17,1.17,Part 1 Episode 17 (1.17),3987,26,5,1.2541,5,0.1923,yes,5,0,1.0000,0.0000,0,1.0000,1,0.0980,3,no,11,46,5.0381,Ned Pointsman,15,0,0
