source,target,weight,shared_episode_count,association_strength,display_width
Jessica Swanlake,Roger Mexico,1.59685,11,0.78174,1.0
Ned Pointsman,Roger Mexico,1.19291,14,0.73786,0.8643
Gerhardt von Göll,Tyrone Slothrop,1.15298,14,0.46157,0.8497
Tantivy Mucker-Maffick,Tyrone Slothrop,1.14531,9,0.44233,0.8469
Ned Pointsman,Tyrone Slothrop,0.89984,14,0.46157,0.7507
Katje Borgesius,Tyrone Slothrop,0.88047,16,0.54121,0.7425
Enzian,Tchitcherine,0.84794,13,0.63892,0.7287
Margherita Erdmann,Tyrone Slothrop,0.8385,8,0.373,0.7246
Tchitcherine,Tyrone Slothrop,0.79504,12,0.41703,0.7056
Marvy,Tyrone Slothrop,0.70966,10,0.42563,0.6666
Enzian,Weissmann / Blicero,0.69526,13,0.57792,0.6598
Gottfried,Weissmann / Blicero,0.68046,7,0.56408,0.6528
Tyrone Slothrop,Weissmann / Blicero,0.66228,12,0.37722,0.644
Enzian,Tyrone Slothrop,0.66088,14,0.43041,0.6433
Teddy Bloat,Tyrone Slothrop,0.65199,6,0.29488,0.639
Tantivy Mucker-Maffick,Teddy Bloat,0.64022,5,0.55556,0.6332
Laszlo Jamf,Tyrone Slothrop,0.61903,13,0.40865,0.6226
Thanatz,Weissmann / Blicero,0.59836,7,0.43082,0.6121
Seaman Bodine,Tyrone Slothrop,0.59545,8,0.39318,0.6106
Ernest Pudding,Ned Pointsman,0.59431,10,0.70711,0.6101
Andreas Orukambe,Enzian,0.58791,8,0.58977,0.6068
Dr. Kevin Spectro,Ned Pointsman,0.57793,4,0.44721,0.6016
Jessica Swanlake,Ned Pointsman,0.56556,8,0.53936,0.5951
Marvy,Tchitcherine,0.56464,11,0.74846,0.5946
Jerome / Jeremy,Roger Mexico,0.54246,7,0.62361,0.5828
Ned Pointsman,Thomas Gwenhidwy,0.52606,5,0.5,0.574
Roger Mexico,Tyrone Slothrop,0.4902,9,0.31277,0.5541
Pirate Prentice,Roger Mexico,0.48344,6,0.33333,0.5502
Greta Erdmann,Tyrone Slothrop,0.48111,12,0.51075,0.5489
Katje Borgesius,Weissmann / Blicero,0.47362,7,0.34238,0.5446
Katje Borgesius,Pirate Prentice,0.45806,8,0.43259,0.5356
Jerome / Jeremy,Jessica Swanlake,0.45755,7,0.79772,0.5353
Pirate Prentice,Teddy Bloat,0.44534,3,0.2357,0.5281
Franz Pökler,Laszlo Jamf,0.43899,6,0.4264,0.5243
Pirate Prentice,Tyrone Slothrop,0.41844,10,0.34752,0.5119
Enzian,Marvy,0.41306,10,0.60193,0.5086
Geli Tripping,Tchitcherine,0.41081,7,0.58333,0.5072
Geli Tripping,Tyrone Slothrop,0.39168,7,0.3649,0.4953
Greta Erdmann,Margherita Erdmann,0.38938,5,0.45644,0.4938
Tchitcherine,Weissmann / Blicero,0.38519,6,0.30151,0.4911
Max Schlepzig,Tyrone Slothrop,0.37956,9,0.4001,0.4875
Darlene,Tyrone Slothrop,0.37895,4,0.29488,0.4871
Chiclitz,Marvy,0.36979,3,0.5,0.4812
Gerhardt von Göll,Otto,0.36135,3,0.3873,0.4757
Otto,Tyrone Slothrop,0.36135,3,0.25538,0.4757
Hilary Bounce,Tyrone Slothrop,0.3459,3,0.25538,0.4654
Blodgett Waxwing,Tyrone Slothrop,0.33194,6,0.33437,0.4559
Greta Erdmann,Thanatz,0.3317,7,0.58333,0.4558
Darlene,Quoad,0.32363,2,0.70711,0.4502
Quoad,Tyrone Slothrop,0.32363,2,0.20851,0.4502
Thanatz,Tyrone Slothrop,0.32352,10,0.42563,0.4501
Tchitcherine,Vaslav,0.31786,2,0.27217,0.4462
Laszlo Jamf,Pirate Prentice,0.30958,3,0.15076,0.4403
Procalowski,Tyrone Slothrop,0.29465,3,0.25538,0.4296
Gustav,Tyrone Slothrop,0.29416,5,0.32969,0.4292
Ernest Pudding,Tyrone Slothrop,0.29324,8,0.373,0.4285
Katje Borgesius,Stephen Dodson-Truck,0.29203,4,0.37463,0.4276
Gerhardt von Göll,Tchitcherine,0.28919,7,0.36893,0.4256
Dr. Kevin Spectro,Tyrone Slothrop,0.28554,2,0.14744,0.4229
Ludwig,Tyrone Slothrop,0.28494,4,0.24077,0.4224
Enzian,Katje Borgesius,0.2836,7,0.33486,0.4214
Osbie Feel,Pirate Prentice,0.28315,5,0.52705,0.4211
Beláustegui,Gerhardt von Göll,0.28095,2,0.31623,0.4195
Margherita Erdmann,Sigmund (Bad Karma companion),0.27492,2,0.44721,0.4149
Sigmund (Bad Karma companion),Tyrone Slothrop,0.27492,2,0.20851,0.4149
Carroll Eventyr,Peter Sachsa,0.26715,3,0.43301,0.409
Franz Pökler,Tyrone Slothrop,0.26356,6,0.29488,0.4063
Chiclitz,Tyrone Slothrop,0.25818,2,0.17025,0.4021
Andreas Orukambe,Weissmann / Blicero,0.25251,6,0.45227,0.3977
Tamara,Tyrone Slothrop,0.25203,2,0.20851,0.3973
Enzian,Gerhardt von Göll,0.25157,9,0.41963,0.3969
Tyrone Slothrop,William Slothrop,0.25015,4,0.29488,0.3958
Jessica Swanlake,Pirate Prentice,0.24918,4,0.28427,0.395
Gerhardt von Göll,Graciela Imago Portales,0.24762,2,0.2582,0.3938
Laszlo Jamf,Lyle Bland,0.24761,5,0.40291,0.3938
Gerhardt von Göll,Max Schlepzig,0.24337,5,0.3371,0.3904
Margherita Erdmann,Thanatz,0.24233,5,0.45644,0.3896
Stephen Dodson-Truck,Tyrone Slothrop,0.2369,5,0.30096,0.3852
Gottfried,Katje Borgesius,0.23467,3,0.26013,0.3833
Schnorp,Tyrone Slothrop,0.23404,1,0.14744,0.3828
Géza Rózsavölgyi,Ned Pointsman,0.23273,3,0.3,0.3818
Ernest Pudding,Roger Mexico,0.2322,8,0.59628,0.3813
Gerhardt von Göll,Weissmann / Blicero,0.23182,8,0.38139,0.381
Ilse Pökler,Leni Pökler,0.23068,2,0.5164,0.3801
Clive Mossmoon,Ned Pointsman,0.2288,6,0.47434,0.3785
Geli Tripping,Gottfried,0.22605,2,0.26726,0.3762
Geli Tripping,Weissmann / Blicero,0.22605,2,0.15076,0.3762
Ned Pointsman,Pirate Prentice,0.22525,6,0.31623,0.3756
Enzian,Horst Achtfaden,0.2242,3,0.27975,0.3747
Beláustegui,Graciela Imago Portales,0.22381,2,0.8165,0.3744
Frau Gnahb,Gerhardt von Göll,0.21726,5,0.5,0.3689
Frau Gnahb,Tyrone Slothrop,0.21726,5,0.32969,0.3689
Leni Pökler,Peter Sachsa,0.21593,3,0.47434,0.3677
Chiclitz,Tchitcherine,0.21354,3,0.40825,0.3657
Katje Borgesius,Osbie Feel,0.21021,4,0.41039,0.3628
Ludwig,William Slothrop,0.2101,2,0.40825,0.3627
Pirate Prentice,Weissmann / Blicero,0.20949,6,0.30151,0.3622
Laszlo Jamf,Ned Pointsman,0.20947,5,0.23837,0.3622
Laszlo Jamf,Roger Mexico,0.20947,5,0.25126,0.3622
Blodgett Waxwing,Laszlo Jamf,0.20855,5,0.40291,0.3614
Glimpf,Tyrone Slothrop,0.20672,2,0.20851,0.3598
Enzian,Pavel,0.20113,3,0.31277,0.3549
Franz Pökler,Weissmann / Blicero,0.20091,2,0.14213,0.3547
Enzian,Laszlo Jamf,0.19914,7,0.31119,0.3531
Chiclitz,Enzian,0.19792,3,0.36116,0.3521
Gerhardt von Göll,Laszlo Jamf,0.19737,8,0.38139,0.3516
