episode_id,species_extinction,colonial_genocide,holocaust_absence_or_adjacency,forced_labour_industrial_body_processing,postwar_technocratic_continuation
1.01,0,0,0,0,0
1.02,0,0,0,0,0
1.03,0,0,0,0,0
1.04,0,0,0,0,0
1.05,0,0,0,0,0
1.06,0,0,0,0,0
1.07,0,0,0,0,0
1.08,0,0,0,0,0
1.09,0,0,0,0,0
1.10,0,0,0,0,0
1.11,0,0,0,0,0
1.12,0,0,0,0,0
1.13,0,0,0,0,0
1.14,2,0,0,0,0
1.15,0,0,0,0,0
1.16,0,0,0,0,0
1.17,0,0,0,0,0
1.18,0,0,0,0,0
1.19,0,0,1,2,0
1.20,0,0,0,0,0
1.21,0,0,0,0,0
2.01,0,0,0,0,0
2.02,0,0,0,0,0
2.03,0,0,0,0,0
2.04,0,0,0,0,1
2.05,0,0,0,0,0
2.06,0,0,0,0,0
2.07,0,0,0,0,0
2.08,0,0,0,0,0
3.01,0,0,0,0,0
3.02,0,0,1,2,2
3.03,0,3,0,0,1
3.04,0,0,0,0,0
3.05,0,0,0,0,0
3.06,0,0,0,0,0
3.07,0,0,0,0,0
3.08,0,0,0,0,0
3.09,0,0,0,0,0
3.10,0,0,0,0,0
3.11,0,0,1,3,3
3.12,0,0,0,0,0
3.13,0,2,1,2,2
3.14,0,0,0,0,0
3.15,0,0,0,0,0
3.16,0,0,0,0,0
3.17,0,0,0,0,0
3.18,0,0,0,0,0
3.19,0,0,0,0,0
3.20,0,0,0,0,0
3.21,1,3,0,0,0
3.22,2,3,0,0,0
3.23,0,0,0,0,0
3.24,0,0,0,0,0
3.25,0,0,0,0,0
3.26,0,0,0,0,0
3.27,0,0,0,0,0
3.28,0,0,0,0,0
3.29,0,0,1,1,0
3.30,0,0,0,0,0
3.31,0,0,0,0,0
3.32,0,0,0,0,0
4.01,0,0,0,0,0
4.02,0,0,0,0,0
4.03,0,0,0,0,0
4.04,0,3,0,0,0
4.05,0,0,0,0,1
4.06,0,0,0,0,0
4.07,0,0,0,0,0
4.08,0,0,0,0,0
4.09,0,0,0,0,0
4.10,0,3,0,0,1
4.11,0,0,0,0,0
4.12,0,0,0,0,2
